URL;Title;H1;Description;Products Quantity;Prod Quantity over 40;Status code;Traffic
https://kasta.ua/market/smartphony-i-gadzhety/;Купити ГАДЖЕТИ в Києві, Харкові, Одесі, Україні ➤ Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Смартфони, планшети і мобільні гаджети;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж СМАРТФОНІВ, ПЛАНШЕТІВ, Мобільних ГАДЖЕТІВ ✱ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка, легке повернення ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса;9960;True;200;208
https://kasta.ua/market/smartphone/;Купити СМАРТФОН в Києві, Харкові, Одесі, Україні ➤ Каталог мобільних телефонів-смартфонів: Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Смартфони;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж СМАРТФОНІВ ✱ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка по Україні: Київ, Харків, Дніпро, Львів, Одеса;48;False;200;348
https://kasta.ua/market/mobilnye-telefony/;Купити МОБІЛЬНИЙ ТЕЛЕФОН в Києві, Харкові, Одесі, Україні ➤ Каталог кнопкових телефонів: Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Кнопкові мобільні телефони;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж МОБІЛЬНИХ ТЕЛЕФОНІВ ✱ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Кнопкові, Протиударні, Бабушкофони ➤ Швидка доставка, легке повернення ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса;96;True;200;197
https://kasta.ua/market/planshety/;Купити ПЛАНШЕТ в Києві та Україні - Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Каталог товарів: планшети;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж ПЛАНШЕТІВ ✱ в Інтернет-магазині 𝗞𝗮𝘀𝘁𝗮 ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка, легке повернення ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса;48;True;200;78
https://kasta.ua/market/smart-chasy/;Купити СМАРТ-ГОДИННИК в Києві, Харкові, Одесі, Україні ➤ Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Smart-годинники;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж SMART-ГОДИННИКІВ ✱ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка, легке повернення ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса;288;True;200;59
https://kasta.ua/market/fitnes-braslety/;Купити ФІТНЕС-БРАСЛЕТ в Києві, Харкові, Одесі, Україні ➤ Каталог фітнес-трекерів: Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Каталог фітнес-браслетів та фітнес-трекерів;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж ФІТНЕС БРАСЛЕТІВ (трекерів, шагомер) ✱ в Інтернет-магазині ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка, легке повернення ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса;96;True;200;13
https://kasta.ua/market/electronnye-knigi/;Купити ЕЛЕКТРОННУ КНИГУ в Києві і Україні - Інтернет-магазин;Каталог товарів: електронні книги;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж ЕЛЕКТРОННИХ КНИГ ✱ в Інтернет-магазині 𝗞𝗮𝘀𝘁𝗮 ➤  АКЦІЇ ЗНИЖКИ Швидка доставка, легке повернення Власні центри видачі товару по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200;57
https://kasta.ua/market/aksessuary-dlya-gadzhetov/;Купити АКСЕСУАРИ для МОБІЛЬНИХ ГАДЖЕТІВ в Інтернет-магазині 𝗞𝗮𝘀𝘁𝗮 ➤ Доставка по Києву, Харкову, Одесі, Україні ➤ Ціни, Відгуки, Продаж;Аксесуари до мобільних і носимих гаджетів;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж АКСЕСУАРІВ для ГАДЖЕТІВ ✱ в Інтернет-магазині ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса;9720;True;200;8
https://kasta.ua/market/smartphone/166/92825535/;Купити СМАРТФОН в Києві, Харкові, Одесі, Україні ➤ Каталог мобільних телефонів-смартфонів: Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Смартфони;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж СМАРТФОНІВ ✱ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200;16
https://kasta.ua/market/smartphone/166/92825537/;DEFAULT;NO H1;NO DESCRIPTION;NO PRODUCTS;False;404;2
https://kasta.ua/market/mobilnye-telefony/72/94246040/;DEFAULT;NO H1;NO DESCRIPTION;NO PRODUCTS;False;404;2
https://kasta.ua/market/mobilnye-telefony/72/92530125/;Купити МОБІЛЬНИЙ ТЕЛЕФОН в Києві, Харкові, Одесі, Україні ➤ Каталог кнопкових телефонів: Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Кнопкові мобільні телефони;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж МОБІЛЬНИХ ТЕЛЕФОНІВ ✱ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Кнопкові, Протиударні, Бабушкофони ➤ Швидка доставка, легке повернення ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200;1
https://kasta.ua/market/mobilnye-telefony/264/91887300/;Купити МОБІЛЬНИЙ ТЕЛЕФОН в Києві, Харкові, Одесі, Україні ➤ Каталог кнопкових телефонів: Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Кнопкові мобільні телефони;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж МОБІЛЬНИХ ТЕЛЕФОНІВ ✱ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Кнопкові, Протиударні, Бабушкофони ➤ Швидка доставка, легке повернення ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса;24;False;200;4
https://kasta.ua/market/mobilnye-telefony/319/2/;Купити МОБІЛЬНИЙ ТЕЛЕФОН в Києві, Харкові, Одесі, Україні ➤ Каталог кнопкових телефонів: Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Кнопкові мобільні телефони;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж МОБІЛЬНИХ ТЕЛЕФОНІВ ✱ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Кнопкові, Протиударні, Бабушкофони ➤ Швидка доставка, легке повернення ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса;48;False;200;2
https://kasta.ua/market/smart-chasy/color/blackcolor/;Купити СМАРТ-ГОДИННИК в Києві, Харкові, Одесі, Україні ➤ Ціни, Відгуки, Продаж ➤ Інтернет-магазин 𝗞𝗮𝘀𝘁𝗮;Smart-годинники;𝗞𝗮𝘀𝘁𝗮 ➤ ТУТ ВИГІДНО: продаж SMART-ГОДИННИКІВ ✱ в Інтернет-магазині ✔ В розстрочку ✔ В кредит ➤ АКЦІЇ ✪ ЗНИЖКИ ➤ Швидка доставка, легке повернення ➤ Власні центри видачі товарів по Україні: Київ, Харків, Дніпро, Львів, Одеса;96;True;200;2
